year,city,country,avg_temp
1743,Vilnius,Lithuania,1.43
1744,Vilnius,Lithuania,7.62
1745,Vilnius,Lithuania,-3.83
1746,Vilnius,Lithuania,
1747,Vilnius,Lithuania,
1748,Vilnius,Lithuania,
1749,Vilnius,Lithuania,
1750,Vilnius,Lithuania,6.42
1751,Vilnius,Lithuania,6.17
1752,Vilnius,Lithuania,0.66
1753,Vilnius,Lithuania,5.31
1754,Vilnius,Lithuania,5.30
1755,Vilnius,Lithuania,5.19
1756,Vilnius,Lithuania,5.87
1757,Vilnius,Lithuania,5.94
1758,Vilnius,Lithuania,4.06
1759,Vilnius,Lithuania,5.32
1760,Vilnius,Lithuania,4.45
1761,Vilnius,Lithuania,5.82
1762,Vilnius,Lithuania,5.43
1763,Vilnius,Lithuania,4.61
1764,Vilnius,Lithuania,5.80
1765,Vilnius,Lithuania,5.57
1766,Vilnius,Lithuania,5.72
1767,Vilnius,Lithuania,5.10
1768,Vilnius,Lithuania,4.40
1769,Vilnius,Lithuania,5.20
1770,Vilnius,Lithuania,5.37
1771,Vilnius,Lithuania,4.31
1772,Vilnius,Lithuania,5.37
1773,Vilnius,Lithuania,6.47
1774,Vilnius,Lithuania,5.39
1775,Vilnius,Lithuania,6.89
1776,Vilnius,Lithuania,5.56
1777,Vilnius,Lithuania,5.01
1778,Vilnius,Lithuania,5.87
1779,Vilnius,Lithuania,7.05
1780,Vilnius,Lithuania,5.16
1781,Vilnius,Lithuania,5.97
1782,Vilnius,Lithuania,4.62
1783,Vilnius,Lithuania,5.94
1784,Vilnius,Lithuania,4.89
1785,Vilnius,Lithuania,3.83
1786,Vilnius,Lithuania,4.30
1787,Vilnius,Lithuania,5.58
1788,Vilnius,Lithuania,4.50
1789,Vilnius,Lithuania,6.18
1790,Vilnius,Lithuania,5.60
1791,Vilnius,Lithuania,6.68
1792,Vilnius,Lithuania,5.37
1793,Vilnius,Lithuania,5.81
1794,Vilnius,Lithuania,6.65
1795,Vilnius,Lithuania,5.20
1796,Vilnius,Lithuania,5.53
1797,Vilnius,Lithuania,7.21
1798,Vilnius,Lithuania,6.26
1799,Vilnius,Lithuania,3.79
1800,Vilnius,Lithuania,5.03
1801,Vilnius,Lithuania,6.38
1802,Vilnius,Lithuania,6.01
1803,Vilnius,Lithuania,4.31
1804,Vilnius,Lithuania,5.15
1805,Vilnius,Lithuania,4.65
1806,Vilnius,Lithuania,5.73
1807,Vilnius,Lithuania,5.86
1808,Vilnius,Lithuania,4.87
1809,Vilnius,Lithuania,4.14
1810,Vilnius,Lithuania,4.46
1811,Vilnius,Lithuania,5.88
1812,Vilnius,Lithuania,3.74
1813,Vilnius,Lithuania,5.08
1814,Vilnius,Lithuania,4.18
1815,Vilnius,Lithuania,4.37
1816,Vilnius,Lithuania,4.61
1817,Vilnius,Lithuania,5.33
1818,Vilnius,Lithuania,5.55
1819,Vilnius,Lithuania,5.80
1820,Vilnius,Lithuania,4.80
1821,Vilnius,Lithuania,5.72
1822,Vilnius,Lithuania,6.97
1823,Vilnius,Lithuania,5.43
1824,Vilnius,Lithuania,6.64
1825,Vilnius,Lithuania,5.72
1826,Vilnius,Lithuania,6.41
1827,Vilnius,Lithuania,6.09
1828,Vilnius,Lithuania,4.85
1829,Vilnius,Lithuania,3.17
1830,Vilnius,Lithuania,4.84
1831,Vilnius,Lithuania,5.39
1832,Vilnius,Lithuania,4.30
1833,Vilnius,Lithuania,5.84
1834,Vilnius,Lithuania,6.48
1835,Vilnius,Lithuania,5.15
1836,Vilnius,Lithuania,5.55
1837,Vilnius,Lithuania,4.95
1838,Vilnius,Lithuania,3.83
1839,Vilnius,Lithuania,4.68
1840,Vilnius,Lithuania,4.07
1841,Vilnius,Lithuania,5.61
1842,Vilnius,Lithuania,4.81
1843,Vilnius,Lithuania,6.17
1844,Vilnius,Lithuania,4.05
